"DateID","FullDate","Day","Month","Quarter","Year"
"1","2020-01-01","1","1","1","2020"
"2","2020-01-01","1","1","1","2020"
"3","2020-01-01","1","1","1","2020"
"4","2020-01-01","1","1","1","2020"
"5","2020-01-01","1","1","1","2020"
"6","2020-01-01","1","1","1","2020"
"7","2020-01-02","2","1","1","2020"
"8","2020-01-02","2","1","1","2020"
"9","2020-01-02","2","1","1","2020"
"10","2020-01-02","2","1","1","2020"
"11","2020-01-02","2","1","1","2020"
"12","2020-01-02","2","1","1","2020"
"13","2020-01-03","3","1","1","2020"
"14","2020-01-03","3","1","1","2020"
"15","2020-01-03","3","1","1","2020"
"16","2020-01-03","3","1","1","2020"
"17","2020-01-03","3","1","1","2020"
"18","2020-01-03","3","1","1","2020"
"19","2020-01-04","4","1","1","2020"
"20","2020-01-04","4","1","1","2020"
"21","2020-01-04","4","1","1","2020"
"22","2020-01-04","4","1","1","2020"
"23","2020-01-04","4","1","1","2020"
"24","2020-01-04","4","1","1","2020"
"25","2020-01-05","5","1","1","2020"
"26","2020-01-05","5","1","1","2020"
"27","2020-01-05","5","1","1","2020"
"28","2020-01-05","5","1","1","2020"
"29","2020-01-05","5","1","1","2020"
"30","2020-01-05","5","1","1","2020"
"31","2020-01-06","6","1","1","2020"
"32","2020-01-06","6","1","1","2020"
"33","2020-01-06","6","1","1","2020"
"34","2020-01-06","6","1","1","2020"
"35","2020-01-06","6","1","1","2020"
"36","2020-01-06","6","1","1","2020"
"37","2020-01-07","7","1","1","2020"
"38","2020-01-07","7","1","1","2020"
"39","2020-01-07","7","1","1","2020"
"40","2020-01-07","7","1","1","2020"
"41","2020-01-07","7","1","1","2020"
"42","2020-01-07","7","1","1","2020"
"43","2020-01-08","8","1","1","2020"
"44","2020-01-08","8","1","1","2020"
"45","2020-01-08","8","1","1","2020"
"46","2020-01-08","8","1","1","2020"
"47","2020-01-08","8","1","1","2020"
"48","2020-01-08","8","1","1","2020"
"49","2020-01-09","9","1","1","2020"
"50","2020-01-09","9","1","1","2020"
"51","2020-01-09","9","1","1","2020"
"52","2020-01-10","10","1","1","2020"
"53","2020-01-10","10","1","1","2020"
"54","2020-01-10","10","1","1","2020"
"55","2020-01-11","11","1","1","2020"
"56","2020-01-11","11","1","1","2020"
"57","2020-01-11","11","1","1","2020"
"58","2020-01-12","12","1","1","2020"
"59","2020-01-12","12","1","1","2020"
"60","2020-01-12","12","1","1","2020"
"61","2020-01-13","13","1","1","2020"
"62","2020-01-13","13","1","1","2020"
"63","2020-01-13","13","1","1","2020"
"64","2020-01-14","14","1","1","2020"
"65","2020-01-14","14","1","1","2020"
"66","2020-01-14","14","1","1","2020"
"67","2020-01-15","15","1","1","2020"
"68","2020-01-15","15","1","1","2020"
"69","2020-01-15","15","1","1","2020"
"70","2020-01-16","16","1","1","2020"
"71","2020-01-16","16","1","1","2020"
"72","2020-01-16","16","1","1","2020"
"73","2020-01-17","17","1","1","2020"
"74","2020-01-17","17","1","1","2020"
"75","2020-01-17","17","1","1","2020"
"76","2020-01-18","18","1","1","2020"
"77","2020-01-18","18","1","1","2020"
"78","2020-01-18","18","1","1","2020"
"79","2020-01-19","19","1","1","2020"
"80","2020-01-19","19","1","1","2020"
"81","2020-01-19","19","1","1","2020"
"82","2020-01-20","20","1","1","2020"
"83","2020-01-20","20","1","1","2020"
"84","2020-01-20","20","1","1","2020"
"85","2020-01-21","21","1","1","2020"
"86","2020-01-21","21","1","1","2020"
"87","2020-01-21","21","1","1","2020"
"88","2020-01-21","21","1","1","2020"
"89","2020-01-21","21","1","1","2020"
"90","2020-01-21","21","1","1","2020"
"91","2020-01-22","22","1","1","2020"
"92","2020-01-22","22","1","1","2020"
"93","2020-01-22","22","1","1","2020"
"94","2020-01-22","22","1","1","2020"
"95","2020-01-22","22","1","1","2020"
"96","2020-01-22","22","1","1","2020"
"97","2020-01-23","23","1","1","2020"
"98","2020-01-23","23","1","1","2020"
"99","2020-01-23","23","1","1","2020"
"100","2020-01-23","23","1","1","2020"
"101","2020-01-23","23","1","1","2020"
"102","2020-01-23","23","1","1","2020"
"103","2020-01-24","24","1","1","2020"
"104","2020-01-24","24","1","1","2020"
"105","2020-01-24","24","1","1","2020"
"106","2020-01-24","24","1","1","2020"
"107","2020-01-24","24","1","1","2020"
"108","2020-01-24","24","1","1","2020"
"109","2020-01-25","25","1","1","2020"
"110","2020-01-25","25","1","1","2020"
"111","2020-01-25","25","1","1","2020"
"112","2020-01-25","25","1","1","2020"
"113","2020-01-25","25","1","1","2020"
"114","2020-01-25","25","1","1","2020"
"115","2020-01-26","26","1","1","2020"
"116","2020-01-26","26","1","1","2020"
"117","2020-01-26","26","1","1","2020"
"118","2020-01-26","26","1","1","2020"
"119","2020-01-26","26","1","1","2020"
"120","2020-01-26","26","1","1","2020"
"121","2020-01-27","27","1","1","2020"
"122","2020-01-27","27","1","1","2020"
"123","2020-01-27","27","1","1","2020"
"124","2020-01-27","27","1","1","2020"
"125","2020-01-27","27","1","1","2020"
"126","2020-01-27","27","1","1","2020"
"127","2020-01-28","28","1","1","2020"
"128","2020-01-28","28","1","1","2020"
"129","2020-01-28","28","1","1","2020"
"130","2020-01-28","28","1","1","2020"
"131","2020-01-28","28","1","1","2020"
"132","2020-01-28","28","1","1","2020"
"133","2020-01-29","29","1","1","2020"
"134","2020-01-29","29","1","1","2020"
"135","2020-01-29","29","1","1","2020"
"136","2020-01-29","29","1","1","2020"
"137","2020-01-29","29","1","1","2020"
"138","2020-01-29","29","1","1","2020"
"139","2020-01-30","30","1","1","2020"
"140","2020-01-30","30","1","1","2020"
"141","2020-01-30","30","1","1","2020"
"142","2020-01-30","30","1","1","2020"
"143","2020-01-30","30","1","1","2020"
"144","2020-01-30","30","1","1","2020"
"145","2020-01-31","31","1","1","2020"
"146","2020-01-31","31","1","1","2020"
"147","2020-01-31","31","1","1","2020"
"148","2020-01-31","31","1","1","2020"
"149","2020-01-31","31","1","1","2020"
"150","2020-01-31","31","1","1","2020"
"151","2020-02-01","1","2","1","2020"
"152","2020-02-01","1","2","1","2020"
"153","2020-02-01","1","2","1","2020"
"154","2020-02-01","1","2","1","2020"
"155","2020-02-01","1","2","1","2020"
"156","2020-02-01","1","2","1","2020"
"157","2020-02-02","2","2","1","2020"
"158","2020-02-02","2","2","1","2020"
"159","2020-02-02","2","2","1","2020"
"160","2020-02-02","2","2","1","2020"
"161","2020-02-02","2","2","1","2020"
"162","2020-02-02","2","2","1","2020"
"163","2020-02-03","3","2","1","2020"
"164","2020-02-03","3","2","1","2020"
"165","2020-02-03","3","2","1","2020"
"166","2020-02-03","3","2","1","2020"
"167","2020-02-03","3","2","1","2020"
"168","2020-02-03","3","2","1","2020"
"169","2020-02-04","4","2","1","2020"
"170","2020-02-04","4","2","1","2020"
"171","2020-02-04","4","2","1","2020"
"172","2020-02-04","4","2","1","2020"
"173","2020-02-04","4","2","1","2020"
"174","2020-02-04","4","2","1","2020"
"175","2020-02-05","5","2","1","2020"
"176","2020-02-05","5","2","1","2020"
"177","2020-02-05","5","2","1","2020"
"178","2020-02-05","5","2","1","2020"
"179","2020-02-05","5","2","1","2020"
"180","2020-02-05","5","2","1","2020"
"181","2020-02-06","6","2","1","2020"
"182","2020-02-06","6","2","1","2020"
"183","2020-02-06","6","2","1","2020"
"184","2020-02-06","6","2","1","2020"
"185","2020-02-06","6","2","1","2020"
"186","2020-02-06","6","2","1","2020"
"187","2020-02-07","7","2","1","2020"
"188","2020-02-07","7","2","1","2020"
"189","2020-02-07","7","2","1","2020"
